py_name,kr_name,jp_name,teacher,bio,birth_date,death_date,display_birth_date,display_death_date,works,links
Bodhidharma,,Daruma,,1st Zen Patriarch. Came from India. 28th Patriarch of Buddhism in an uninterrupted line that extends all the way back to the Gautama Buddha himself. Sat meditating for 9 years in a cave near Shaolin Monastery.,,532,450,532,,
Dao Yu,,,Bodhidharma,,,,480,550,,
Dao Fu,,,Bodhidharma,,,,480,550,,
Zong Chi,,,Bodhidharma,"When Bodhidharma was about to return to India, he asked his four top students to state their realization. Tao-fu said that the Buddhist path transcends language but is not separate from it. Bodhidharma said “You have attained my skin.” Tsung-chi said it was like seeing one of the Buddhalands; if you see it once you never need to see it again. Bodhidharma said “You have attained my flesh.” Tao-yu said that the four elements are originally empty and the five agregates not existent, so nothing that he comprehends is attainable. Bodhidharma said “You have attained my bone.,” Hui-ke silently bowed. Bodhidharma said “You have attained my marrow.”",,,480,550,,
Dazu Huike,,Taiso Eka,Bodhidharma,2nd Patriarch. Chopped his own arm to show Bodhidharma he was serious.,487,593,487,593,,
Jianzhi Sengcan,,Kanchi Sosan,Dazu Huike,3rd Patriarch. ,529,606,529,606,Xin Xin Ming,
Dayi Daoxin,,Doshin,Jianzhi Sengcan,4th Patriarch.,580,651,580,651,,
Sungyueh Huian,,Sugaku Ean,Daman Hongren,"When asked for an audience by the Emperor Koso he avoided him and fled to the mountains where he was visited by many monks including Nanyue Huairang, a student oh Huineng's. When asked about Zen he used to simply open and shit his eyes. Sungyueh Huian died at the age of 128.",582,709,582,709,,
Niutou Farong,,Gozu Hoyu,Dayi Daoxin,"First interaction with Daoxin:<br>Daoxin: 'What are you up to?' <br>Farong: 'I am meditating on the mind' <br>Daoxin: 'What is it that is meditating? What is the mind?' <br>After studying with Daoxin, he began what became known as the Niutou (Oxhead) school of Zen. ",594,657,594,657,Xin Ming (Mind Inscription),
Daman Hongren,,Konin,Dayi Daoxin,5th Patriarch. Prominently featured in the Platform Sutra.,601,674,601,674,,
Yuquan Shenxiu,,Jinshu,Daman Hongren,Shenxiu was Hongren's de facto dharma heir before Huineng came along. He is somewhat of a foil in the Platform Sutra and writes the initial poem that Huineng responds to. Often saddled with gradualist views.,605,706,605,706,Guan Xin Lun (Treatise on the Contemplation of the Mind),
Chihyen,,Chigan,Niutou Farong,7 feet 6 inches tall. Warrior turned monk at 40.,600,677,607,677,,
